id,created_by,created_date,updated_by,updated_date,adjacent_states,no_of_adjacent_states,state
1,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Florida,Georgia,Mississippi,Tennessee",4,Alabama
10,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Alabama,Florida,North Carolina,South Carolina,Tennessee",5,Georgia
11,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,NULL,0,Hawaii
12,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Montana,Nevada,Oregon,Utah,Washington,Wyoming",6,Idaho
13,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Indiana,Iowa,Michigan,Kentucky,Missouri,Wisconsin",6,Illinois
14,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Illinois,Kentucky,Michigan,Ohio",4,Indiana
15,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Illinois,Minnesota,Missouri,Nebraska,South Dakota,Wisconsin",6,Iowa
16,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Colorado,Missouri,Nebraska,Oklahoma",4,Kansas
17,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Illinois,Indiana,Missouri,Ohio,Tennessee,Virginia,West Virginia",7,Kentucky
18,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Arkansas,Mississippi,Texas",0,Louisiana
19,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,New Hampshire,1,Maine
2,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,NULL,0,Alaska
20,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Delaware,Pennsylvania,Virginia,West Virginia",4,Maryland
21,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Connecticut,New Hampshire,New York,Rhode Island,Vermont",6,Massachusetts
22,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Illinois,Indiana,Minnesota (water border),Ohio,Wisconsin",5,Michigan
23,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Iowa,Michigan (water border),North Dakota,South Dakota,Wisconsin",5,Minnesota
24,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Alabama,Arkanssas,Louisiana,Tennessee",4,Mississippi
25,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Arkansas,Illinois,Iowa,Kansas,Kentucky,Nebraska,Oklahoma,Tennessee",8,Missouri
26,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Idaho,North Dakota,South Dakota,Wyoming",4,Montana
27,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Colorado,Iowa,Kansas,Missouri,South Dakota,Wyoming",6,Nebraska
28,SYSTEM,2021-09-09 11:48:52,SYSTEM,2021-09-09 11:48:52,"Arizona,California,Idaho,Oregon,Utah",5,Nevada
