id,created_by,created_date,updated_by,updated_date,has_overtime_pay_rate_applied,is_client_approved_for_job,is_client_approved_for_project,margin_rate_for_full_time_employee,margin_rate_for_hourly_job,payment_terms_for_job,payment_terms_for_project,admin_id,client_id
098f8a30-f73d-4697-9575-fd583605001f,01,2024-08-27 10:38:03,01,2024-08-27 10:38:03,_binary '0',_binary '',_binary '0',0,0,30,0,01,c88ec339-7d2b-4937-92ed-91233b2e339f
09d5adfe-f2d1-45fc-a1f2-9d81bc3a26d9,01,2024-06-04 13:15:52,01,2024-06-04 13:15:52,_binary '0',_binary '0',_binary '0',0,0,0,545,01,19430a8c-6324-4105-8fc5-b7973e8f5d7f
230bc97b-e294-4866-b09d-bb6578502cab,01,2024-08-23 08:59:31,NULL,2024-08-23 03:51:10,_binary '0',_binary '0',_binary '0',0,0,0,454,01,a7886ae9-6026-4d0d-a0be-dc1de0320cd8
27179b24-7fd5-4248-a58d-950a5d2235b2,01,2023-07-25 11:25:11,01,2023-07-25 11:25:59,_binary '',_binary '',_binary '',12,10,12,12,01,a527105f-049d-4bec-8e52-d4cef9603122
45694607-03a3-4a82-a726-9596ff655d6f,01,2024-02-07 05:36:33,NULL,2024-08-23 06:44:13,_binary '0',_binary '',_binary '',0,0,30,100,01,3f8eb79e-f046-4317-adee-7b916a3ee09e
5440e7cc-d1de-437c-9f0e-ce77b264c9fd,01,2023-11-08 06:51:22,01,2023-11-08 06:52:31,_binary '0',_binary '',_binary '',0,0,30,25,01,f0ff98fb-1811-4940-8054-c8b127ad6554
622336c9-75aa-47d1-b99b-6cc1a567efea,01,2024-06-13 09:49:49,NULL,2024-07-18 03:28:00,_binary '0',_binary '',_binary '',0,0,30,100,01,02
6bfc04a1-6620-4e7d-b334-25bb04aa6944,01,2022-02-11 14:05:48,01,2022-02-11 14:06:11,_binary '0',_binary '',_binary '',20,20,30,30,01,7f70391a-967d-4611-93c8-472df9f657df
6d690c47-24b9-4dc4-a459-396b7cdb2577,01,2024-06-04 05:27:23,01,2024-06-04 05:27:23,_binary '0',_binary '0',_binary '0',0,0,0,455,01,02
6e4dc9c4-4d37-4ad2-8846-449d93206390,01,2024-08-27 11:53:33,NULL,2024-08-27 06:57:41,_binary '0',_binary '0',_binary '',0,0,300,122,01,7b254d0a-f432-4ad7-bd72-2f1cc5f9d8e7
71c17dcb-811e-43aa-8ec1-1e88073d0ff7,01,2023-08-23 04:41:32,01,2023-08-23 04:44:36,_binary '0',_binary '',_binary '0',0,0,35,0,01,05addf6d-680e-4dcc-8131-a9257b17624b
7288c727-4704-4fff-95fe-c09bbe27d874,01,2023-08-03 05:26:29,01,2023-08-03 05:26:29,_binary '',_binary '',_binary '0',10,12,12,0,01,369ab9dc-0cf7-49b6-97dc-a938d2c93967
730b8d67-e1f5-4bb1-84b7-2c70c1925032,01,2022-06-21 05:54:55,01,2022-06-21 05:55:07,_binary '',_binary '',_binary '',2,1,90,90,01,a69a9857-30f7-4676-b610-a09c3d5e3f40
7a424f5e-ea87-47cc-a798-fbc7a1e49e58,01,2021-06-29 09:51:23,NULL,2024-06-13 09:58:06,_binary '0',_binary '0',_binary '',0,0,0,1,01,9fd96859-1704-45be-9855-88268c001558
80e1db69-689a-48d3-b8e7-78c41b804492,01,2024-06-12 07:06:27,01,2024-06-12 07:06:27,_binary '0',_binary '0',_binary '0',0,0,0,111,01,02
8122c528-bdfb-4e75-a0bc-17dbf77525b7,01,2022-02-10 17:15:47,NULL,2024-06-13 10:02:13,_binary '0',_binary '',_binary '',20,15,30,30,01,ba76ab82-500d-40c0-a6ab-130d35381de8
9dfd60e5-a300-49bf-89f2-9edfef2d8ba3,01,2023-07-25 10:19:06,NULL,2024-08-23 01:07:45,_binary '0',_binary '',_binary '',5,10,0,30,01,b91189e3-47b3-44b1-a685-0252e97c7d1c
a66d71ea-1c2f-4818-9821-6100fa8e3d62,01,2024-06-04 07:23:22,01,2024-06-04 07:23:22,_binary '0',_binary '0',_binary '0',0,0,30,0,01,ba76ab82-500d-40c0-a6ab-130d35381de8
b4a0b17a-3bd7-4659-9c80-c3d93becb6d5,01,2023-08-17 10:13:23,01,2023-08-17 10:18:09,_binary '',_binary '',_binary '',10,10,30,120,01,19430a8c-6324-4105-8fc5-b7973e8f5d7f
b67e6450-d021-4777-bf0d-127595156c92,01,2024-06-13 05:30:58,01,2024-06-13 05:30:58,_binary '0',_binary '0',_binary '0',0,0,0,100,01,02
cb119d97-92ee-4092-8560-095562917c27,01,2022-02-10 12:59:24,01,2022-02-10 13:00:05,_binary '0',_binary '',_binary '',20,15,30,30,01,ed3c98c1-1fff-4fbf-ac65-97262ce86341
cb1def2c-5860-4143-9873-6c1fcee21445,01,2023-08-23 08:44:49,NULL,2024-08-08 09:09:04,_binary '0',_binary '',_binary '',24,25,15,30,01,c8367fc3-d459-4b83-b48b-37521e6d4795
d41f9645-7154-47e6-9cb6-1731ad662f6e,01,2021-06-25 13:50:50,01,2023-08-23 04:30:39,_binary '',_binary '',_binary '',15,20,322,31,01,02
df3472d2-e915-49d5-95df-80c6e161f491,01,2024-08-27 11:56:23,NULL,2024-08-27 12:10:00,_binary '0',_binary '',_binary '',0,0,30,55,01,a217d6e6-ef73-4632-a981-2d35c32eadff
e164fb51-66cc-4c72-845c-cc9fb7e39964,01,2023-11-16 11:06:09,01,2023-11-16 11:06:16,_binary '0',_binary '',_binary '',0,0,30,30,01,23c07bea-e6ef-4332-be1f-aafcfae965e9
e4f7684b-5da6-43c5-a89b-f26b138c65fc,01,2025-04-18 10:34:39,NULL,2025-04-18 10:34:44,_binary '0',_binary '',_binary '',0,0,30,15,01,c0f385bf-790f-431d-8dc4-1bf83ba3a392
e7f9dbce-5ec8-436a-901d-3bd76cc96719,01,2024-08-27 12:25:26,NULL,2024-08-27 12:26:08,_binary '0',_binary '',_binary '',0,0,30,500,01,41f85656-7f97-4cfb-aad6-02455efe1370
f08a1263-8f26-4524-9884-203e0b88e6b0,01,2022-01-25 15:36:00,01,2022-01-25 15:36:26,_binary '0',_binary '',_binary '',0,0,30,15,01,1459f8aa-5b5e-45f2-9bdc-f3097960a439
f519b3c6-869c-4fb0-a2ff-c11e84ef3543,01,2023-02-27 11:13:29,01,2023-02-27 11:13:29,_binary '',_binary '',_binary '0',20,20,30,0,01,e3e2e9ad-058e-4c07-a819-fa7cc490cfc3
