id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add adjacent states,7,add_adjacentstates
26,Can change adjacent states,7,change_adjacentstates
27,Can delete adjacent states,7,delete_adjacentstates
28,Can view adjacent states,7,view_adjacentstates
29,Can add approve client attachment,8,add_approveclientattachment
30,Can change approve client attachment,8,change_approveclientattachment
31,Can delete approve client attachment,8,delete_approveclientattachment
32,Can view approve client attachment,8,view_approveclientattachment
33,Can add approve client detail,9,add_approveclientdetail
34,Can change approve client detail,9,change_approveclientdetail
35,Can delete approve client detail,9,delete_approveclientdetail
36,Can view approve client detail,9,view_approveclientdetail
37,Can add auth group,10,add_authgroup
38,Can change auth group,10,change_authgroup
39,Can delete auth group,10,delete_authgroup
40,Can view auth group,10,view_authgroup
41,Can add auth group permissions,11,add_authgrouppermissions
42,Can change auth group permissions,11,change_authgrouppermissions
43,Can delete auth group permissions,11,delete_authgrouppermissions
44,Can view auth group permissions,11,view_authgrouppermissions
45,Can add auth permission,12,add_authpermission
46,Can change auth permission,12,change_authpermission
47,Can delete auth permission,12,delete_authpermission
48,Can view auth permission,12,view_authpermission
49,Can add auth user,13,add_authuser
50,Can change auth user,13,change_authuser
51,Can delete auth user,13,delete_authuser
52,Can view auth user,13,view_authuser
53,Can add auth user groups,14,add_authusergroups
54,Can change auth user groups,14,change_authusergroups
55,Can delete auth user groups,14,delete_authusergroups
56,Can view auth user groups,14,view_authusergroups
57,Can add auth user user permissions,15,add_authuseruserpermissions
58,Can change auth user user permissions,15,change_authuseruserpermissions
59,Can delete auth user user permissions,15,delete_authuseruserpermissions
60,Can view auth user user permissions,15,view_authuseruserpermissions
61,Can add bank detail master,16,add_bankdetailmaster
62,Can change bank detail master,16,change_bankdetailmaster
63,Can delete bank detail master,16,delete_bankdetailmaster
64,Can view bank detail master,16,view_bankdetailmaster
65,Can add candidate pipeline,17,add_candidatepipeline
66,Can change candidate pipeline,17,change_candidatepipeline
67,Can delete candidate pipeline,17,delete_candidatepipeline
68,Can view candidate pipeline,17,view_candidatepipeline
69,Can add certificate master,18,add_certificatemaster
70,Can change certificate master,18,change_certificatemaster
71,Can delete certificate master,18,delete_certificatemaster
72,Can view certificate master,18,view_certificatemaster
73,Can add change request,19,add_changerequest
74,Can change change request,19,change_changerequest
75,Can delete change request,19,delete_changerequest
76,Can view change request,19,view_changerequest
77,Can add change request attachment,20,add_changerequestattachment
78,Can change change request attachment,20,change_changerequestattachment
