id,created_by,created_date,updated_by,updated_date,document_name1,document_name2,document_name3,document_path1,document_path2,document_path3,is_seen,message,type,job_id,jobsite_id,posted_by_id,posted_to_id,project_id
052198ad-b0ca-4312-891e-a6719755501b,NULL,2025-04-10 10:54:07,NULL,2025-04-10 10:54:19,NULL,NULL,NULL,NULL,NULL,NULL,_binary '',hi,JOB,9f5625af-8059-4d74-aeaa-e8a1afe37f62,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,54fea194-4220-40ff-83dd-00c5a946dc25,NULL
07e1f754-57ef-441b-9b80-04749deecfad,NULL,2024-02-12 06:23:14,NULL,2024-02-12 06:24:23,Bunglow.jpg,NULL,NULL,IconicWorkerUserImages/1a5949d9-a8db-4f10-8659-bb114c4ec3bc,NULL,NULL,_binary '',test12-02,PROJECT,NULL,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,a3d2b1e9-d64f-46b7-85f5-af83442a5547,92ea6776-a0c4-4efb-ab52-9c4f26c0530f
0a08ef25-035c-4111-9683-fd0450a7462f,NULL,2024-04-25 04:53:08,NULL,2024-04-25 04:54:15,NULL,NULL,NULL,NULL,NULL,NULL,_binary '',This is message from bid comparison,PROJECT,NULL,NULL,b91189e3-47b3-44b1-a685-0252e97c7d1c,8e9967a6-5915-45d4-a25e-11b1876d18df,42b7eb21-f610-42eb-8fed-bda227dfef76
114ccb90-9925-4d03-897f-74b9eb4803f1,NULL,2024-02-08 09:38:01,NULL,2024-02-08 09:39:07,NULL,NULL,NULL,NULL,NULL,NULL,_binary '',Telent Alask test,JOBSITE,NULL,c7828149-16f6-4459-9f1c-89250e821652,c8367fc3-d459-4b83-b48b-37521e6d4795,a3d2b1e9-d64f-46b7-85f5-af83442a5547,5f5fc3f4-90c9-4244-86d8-e97a76997e80
16748403-805b-4696-bf7c-da82c2eb13d0,NULL,2024-02-28 06:51:16,NULL,2024-02-28 06:52:02,SamplePDFFile_5mb.pdf,NULL,NULL,IconicWorkerUserImages/e529c285-f09d-4e33-901e-350e04ad8d3b,NULL,NULL,_binary '',Hi This is a message on 28-02,JOB,c6d6220c-5a8b-4958-956a-b23d8e313877,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,1ec5afe3-043f-45dd-8f4c-7a84d55db398,NULL
1cb8e979-6366-4ab7-b98e-6b1e0654ca82,NULL,2024-07-10 06:12:51,NULL,2024-07-10 06:12:51,NULL,NULL,NULL,NULL,NULL,NULL,_binary '0',"ed, and they are truly appreciated. As we move forward, I wanted to provide a comprehensive update on where we stand and what lies ahead. Over the past few months, we have successfully completed the initial phases of research, planning, and design. T",JOBSITE,NULL,b2e6c68b-8de7-4895-b1fd-ffa05eb0ac56,73c35bda-c637-4513-a758-b9491df12540,c8367fc3-d459-4b83-b48b-37521e6d4795,525a0b6b-35ea-4eac-beed-fa3da163bcbc
1d2ce766-2f6e-4df6-a155-38ecbbf18383,NULL,2024-07-16 11:21:23,NULL,2024-07-16 11:21:23,NULL,NULL,NULL,NULL,NULL,NULL,_binary '0',payal,PROJECT,NULL,NULL,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,c8367fc3-d459-4b83-b48b-37521e6d4795,f82294fb-6393-498a-bc5a-504e309bc6dd
21f3cafb-cc65-475a-8d00-707199be5f55,NULL,2024-03-19 05:53:46,NULL,2024-03-19 05:57:23,sample.pdf,Home.jpg,NULL,IconicWorkerUserImages/7d078d61-7c7f-4866-a7a0-4af727c64349,IconicWorkerUserImages/a5d8ad4a-551c-41d8-969a-8789d3e07675,NULL,_binary '',This is a test message,JOB,d24e512e-cb33-48fe-90da-cf3ff94fee99,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,54fea194-4220-40ff-83dd-00c5a946dc25,NULL
23e977c3-d6d9-49d9-b1b1-36db1ef8a96e,NULL,2024-04-17 08:53:18,NULL,2024-04-17 12:11:21,NULL,NULL,NULL,NULL,NULL,NULL,_binary '',Hi This is from pau patil for Prpproject,JOB,027f3513-ce7a-4d5d-8ff2-335435b19bc0,NULL,0c36a187-4358-49d8-96da-a03c74687490,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL
28a30f3a-26cf-4ece-8681-7abd6f3b048b,NULL,2024-07-10 06:02:08,NULL,2024-07-10 06:02:08,NULL,NULL,NULL,NULL,NULL,NULL,_binary '0',"The standard Lorem Ipsum passage, used since the 1500s ""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nis",JOB,ff2ed39f-9c22-40af-8be5-a9dbd426cff5,NULL,b91189e3-47b3-44b1-a685-0252e97c7d1c,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,NULL
