id,created_by,created_date,updated_by,updated_date,country_name,country_code
1,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,United States,1
10,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Mexico,52
100,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Equatorial Guinea,240
101,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Eritrea,291
102,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Eswatini,268
104,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Fiji,679
105,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Gabon,241
106,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Gambia,220
107,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Georgia,995
108,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Guatemala,502
109,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Guinea,224
11,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,South Africa,27
110,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Guyana,592
111,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Haiti,509
112,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Honduras,504
113,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Iceland,354
116,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Kazakhstan,7
117,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Kiribati,686
119,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Kyrgyzstan,996
12,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Russia,7
120,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Laos,856
121,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Latvia,371
123,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Lesotho,266
124,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Liberia,231
125,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Libya,218
126,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Liechtenstein,423
127,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Lithuania,370
128,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Luxembourg,352
129,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Madagascar,261
13,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Netherlands,31
130,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Malawi,265
131,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Maldives,960
132,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Mali,223
133,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Malta,356
134,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Marshall Islands,692
135,System,2024-07-01 08:20:55,System,2024-07-01 08:20:55,Mauritania,222
