id,app,name,applied
1,contenttypes,0001_initial,2023-04-24 11:27:04.230050
2,auth,0001_initial,2023-04-24 11:27:10.004638
3,admin,0001_initial,2023-04-24 11:27:11.542280
4,admin,0002_logentry_remove_auto_add,2023-04-24 11:27:11.983663
5,admin,0003_logentry_add_action_flag_choices,2023-04-24 11:27:12.394645
6,contenttypes,0002_remove_content_type_name,2023-04-24 11:27:13.888221
7,auth,0002_alter_permission_name_max_length,2023-04-24 11:27:14.545580
8,auth,0003_alter_user_email_max_length,2023-04-24 11:27:15.167188
9,auth,0004_alter_user_username_opts,2023-04-24 11:27:15.572027
10,auth,0005_alter_user_last_login_null,2023-04-24 11:27:16.249725
11,auth,0006_require_contenttypes_0002,2023-04-24 11:27:16.646583
12,auth,0007_alter_validators_add_error_messages,2023-04-24 11:27:17.049999
13,auth,0008_alter_user_username_max_length,2023-04-24 11:27:17.703666
14,auth,0009_alter_user_last_name_max_length,2023-04-24 11:27:18.355424
15,auth,0010_alter_group_name_max_length,2023-04-24 11:27:18.966226
16,auth,0011_update_proxy_permissions,2023-04-24 11:27:19.962621
17,auth,0012_alter_user_first_name_max_length,2023-04-24 11:27:20.611944
18,sessions,0001_initial,2023-04-24 11:27:21.648728
19,cv_skills_app,0001_initial,2023-05-08 04:42:05.211495
20,cv_skills_app,0002_delete_adjacentstates_delete_approveclientattachment_and_more,2023-05-08 07:28:42.428650
21,jd_skills_app,0001_initial,2023-05-31 06:46:50.095586
22,jd_app,0001_initial,2023-06-06 06:19:50.520802
23,match_app,0001_initial,2023-07-05 12:43:28.010587
24,jd_app,0002_jobdetail,2023-07-18 08:55:20.133816
25,cv_skills_app,0003_alter_workerattachment_options,2023-11-03 05:35:57.912747
26,cv_skills_app,0004_alter_usermaster_options_workerattachment_job_title_and_more,2023-11-03 05:35:59.791038
27,cv_skills_app,0005_alter_usermaster_options_and_more,2023-11-03 06:18:39.607131
28,cv_skills_app,0006_alter_usermaster_options_and_more,2023-11-03 06:18:40.052604
