installed_rank,version,description,type,script,checksum,installed_by,installed_on,execution_time,success
1,1,<< Flyway Baseline >>,BASELINE,<< Flyway Baseline >>,NULL,iconicworker,2021-06-15 05:05:21,0,1
2,2,init,SQL,V2__init.sql,-713484064,iconicworker,2021-06-15 05:05:21,69,1
3,3,city master 1,SQL,V3__city_master_1.sql,-1163505237,iconicworker,2021-06-15 05:05:22,349,1
4,4,city master 2,SQL,V4__city_master_2.sql,855437874,iconicworker,2021-06-15 05:05:22,167,1
5,5,city master 3,SQL,V5__city_master_3.sql,953860396,iconicworker,2021-06-15 05:05:22,156,1
6,6,city master 4,SQL,V6__city_master_4.sql,-1331221058,iconicworker,2021-06-15 05:05:22,109,1
7,7,empno master 5,SQL,V7__empno_master_5.sql,-1123664255,iconicworker,2021-06-15 05:05:23,15,1
8,8,updatetablequeries 6,SQL,V8__updatetablequeries_6.sql,-1511931977,iconicworker,2021-06-15 05:05:23,25,1
9,9,updatetablequeriesprofilelatlong 7,SQL,V9__updatetablequeriesprofilelatlong_7.sql,1585245003,iconicworker,2021-06-15 05:05:23,11,1
10,10,initbankdetails,SQL,V10__initbankdetails.sql,367206626,iconicworker,2021-06-15 05:05:23,6,1
11,11,updatesubcontractorprofileCompany 9,SQL,V11__updatesubcontractorprofileCompany_9.sql,-49142960,iconicworker,2021-06-15 05:05:23,5,1
12,12,updateadminpassword 10,SQL,V12__updateadminpassword_10.sql,-75740419,iconicworker,2021-06-15 05:05:23,5,1
13,13,insertdiversitycategory 11,SQL,V13__insertdiversitycategory_11.sql,-1715337556,iconicworker,2021-06-15 05:05:23,9,1
14,14,updateTimesheetcols 13,SQL,V14__updateTimesheetcols_13.sql,475092180,iconicworker,2021-06-24 13:07:29,131,1
15,15,UJobdescspecialqualificationcols 15,SQL,V15__UJobdescspecialqualificationcols_15.sql,-177856283,iconicworker,2021-06-24 13:07:30,214,1
16,16,gamificationQueries 16,SQL,V16__gamificationQueries_16.sql,575157436,iconicworker,2021-09-09 11:29:49,18,1
17,17,lineItem 17,SQL,V17__lineItem_17.sql,-150817770,iconicworker,2022-03-16 04:41:32,7906,1
18,18,EntityValidationRelatedChanges,SQL,V18__EntityValidationRelatedChanges.sql,-1965812246,iconicworker,2023-04-17 11:16:23,2041,1
19,19,UserMasterRelatedChanges,SQL,V19__UserMasterRelatedChanges.sql,-1085424119,iconicworker,2023-04-24 04:14:46,145,1
20,20,CandidatePipelineCreate,SQL,V20__CandidatePipelineCreate.sql,974381830,iconicworker,2023-04-27 12:11:51,50,1
21,21,WorkerAttachmentRelatedChanges,SQL,V21__WorkerAttachmentRelatedChanges.sql,-1406367129,iconicworker,2023-05-08 07:02:04,5257,1
22,22,JobDetailRelatedChanges,SQL,V22__JobDetailRelatedChanges.sql,1075027822,iconicworker,2023-05-10 12:01:19,1696,1
23,23,CreatTableRecruiterActiveJob,SQL,V23__CreatTableRecruiterActiveJob.sql,52520692,iconicworker,2023-05-11 14:20:10,1330,1
24,24,WorkerAttachmentLocationRelatedChanges,SQL,V24__WorkerAttachmentLocationRelatedChanges.sql,1581063331,iconicworker,2023-05-11 14:20:19,5801,1
25,25,WorkerProfileChanges,SQL,V25__WorkerProfileChanges.sql,1481514190,iconicworker,2023-05-18 08:38:34,5905,1
26,26,CreatTableRecruiterWorker,SQL,V26__CreatTableRecruiterWorker.sql,1802845449,iconicworker,2023-05-18 08:52:44,1215,1
27,27,CreateTableRecruiterSubmission,SQL,V27__CreateTableRecruiterSubmission.sql,-238133755,iconicworker,2023-05-25 07:15:17,53,1
28,28,WorkerProfileRelatedChanges,SQL,V28__WorkerProfileRelatedChanges.sql,309435025,iconicworker,2023-06-08 05:36:43,1216,1
29,29,CreateTableRecruiterProfile,SQL,V29__CreateTableRecruiterProfile.sql,-872737187,iconicworker,2023-06-20 12:05:59,1269,1
30,30,CreateTableRecruiterServiceLocation,SQL,V30__CreateTableRecruiterServiceLocation.sql,1861603237,iconicworker,2023-06-20 12:06:04,1265,1
31,31,CreateTableExternalRecruiterReferences,SQL,V31__CreateTableExternalRecruiterReferences.sql,-81649950,iconicworker,2023-06-20 12:06:08,1262,1
32,32,CreateTableExternalRecruiterJobAccess,SQL,V32__CreateTableExternalRecruiterJobAccess.sql,1091763124,iconicworker,2023-06-30 04:57:02,1970,1
33,33,CreateTablePlan,SQL,V33__CreateTablePlan.sql,1085594924,iconicworker,2023-07-10 12:30:04,3966,1
34,34,CreateTablePlanFeature,SQL,V34__CreateTablePlanFeature.sql,-1861692496,iconicworker,2023-07-11 10:22:43,3615,1
35,35,CreateTableSubscription,SQL,V35__CreateTableSubscription.sql,424371067,iconicworker,2023-07-11 10:22:47,1229,1
36,36,CreateTableStripeInvoice,SQL,V36__CreateTableStripeInvoice.sql,745977525,iconicworker,2023-07-11 10:22:52,1222,1
37,37,AlterTableUserMaster,SQL,V37__AlterTableUserMaster.sql,-1185306340,iconicworker,2023-07-11 10:22:56,1359,1
38,38,CreateTableProjectWorkProgress,SQL,V38__CreateTableProjectWorkProgress.sql,599593720,iconicworker,2023-07-13 09:15:15,1256,1
39,39,CreateTableProjectWorkProgressPhotos,SQL,V39__CreateTableProjectWorkProgressPhotos.sql,-1876572183,iconicworker,2023-07-13 09:15:20,1233,1
40,40,CreateTableJobCandidatePool,SQL,V40__CreateTableJobCandidatePool.sql,-578882268,iconicworker,2023-07-17 12:09:21,1909,1
