id,created_by,created_date,updated_by,updated_date,client_annual_salary,client_hourly_rate,client_milage_rate,client_per_diem_rate,client_special_note,is_favourite,is_job_completed,job_accepted_date,job_applied_date,job_completion_date,status,t_sheet_job_id,t_sheet_worker_id,worker_annual_salary,worker_hourly_rate,worker_special_note,worker_tentative_start_date,job_detail_id,worker_id,worker_profile_id,associated_recruiter,intended_party,accepting_party,recruiter_margin,work_progress_percentage
0188c4e8-3a75-4016-b4d9-1ae2a4187f09,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-23 05:23:59,1ec5afe3-043f-45dd-8f4c-7a84d55db398,2024-02-23 05:25:15,545454,0,0,0,NULL,_binary '0',_binary '0',2024-02-23 05:25:15,2024-02-23 05:23:59,NULL,HIRED,NULL,NULL,0,0,NULL,NULL,ac88791d-6ff2-4b13-921e-81d0bf5865cd,1ec5afe3-043f-45dd-8f4c-7a84d55db398,885f9677-e48d-444a-bff6-4dc9e36dae00,NULL,1ec5afe3-043f-45dd-8f4c-7a84d55db398,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL,1.00
01ffbe71-e09a-4c0d-a743-814e82209758,8d250d37-5fe6-4b9c-b0cd-10fc41594c05,2025-04-17 03:46:10,8d250d37-5fe6-4b9c-b0cd-10fc41594c05,2025-04-17 03:46:10,0,0,0,0,NULL,_binary '0',_binary '0',NULL,NULL,NULL,STARTED,NULL,NULL,0,0,NULL,NULL,bf38f173-c63d-451d-81cf-59aef81d4a3e,8d250d37-5fe6-4b9c-b0cd-10fc41594c05,07f0d07f-af45-49b0-813b-fc00852e827b,NULL,NULL,NULL,NULL,NULL
0209f2bc-c2a7-4184-bcaa-e5f4f8c7558e,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-03-28 13:35:20,84535435-bae3-4683-844d-6baeef2006db,2024-03-28 13:37:19,0,10,10,10,NULL,_binary '0',_binary '0',2024-03-28 13:37:19,2024-03-28 13:35:20,NULL,HIRED,NULL,NULL,0,0,NULL,NULL,506cce63-663d-4390-b313-149cb5630551,84535435-bae3-4683-844d-6baeef2006db,fd0a549c-8020-47e8-a2fc-02de3736af67,NULL,84535435-bae3-4683-844d-6baeef2006db,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL,NULL
03131b5c-aa71-4f00-980a-baba262160c5,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-02 07:16:31,0c36a187-4358-49d8-96da-a03c74687490,2024-04-02 07:22:02,0,26,20,30,NULL,_binary '0',_binary '0',2024-02-02 07:21:54,2024-04-02 07:16:31,NULL,HIRED,57785934,3827270,0,26,NULL,NULL,027f3513-ce7a-4d5d-8ff2-335435b19bc0,0c36a187-4358-49d8-96da-a03c74687490,7f66224a-ff53-4606-94db-4a0471a7bed4,NULL,0c36a187-4358-49d8-96da-a03c74687490,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL,NULL
046e017e-7bf9-44d3-bbe0-a0b8159290be,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-26 04:18:10,89f1e714-f065-42a8-b5fd-6fa395263257,2024-04-26 04:33:33,0,55.5,30,50,NULL,_binary '0',_binary '0',2024-04-26 04:33:22,2024-04-26 04:18:10,NULL,HIRED,59148108,3927230,0,55.5,NULL,NULL,e449ef5b-731c-4926-a99d-a009b2330d86,8a251f2b-92ec-4363-ac52-5e59c5755d05,463cde2e-5f78-4296-ae3d-815ae2229db4,89f1e714-f065-42a8-b5fd-6fa395263257,89f1e714-f065-42a8-b5fd-6fa395263257,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL,NULL
048426e9-32f4-409c-a23f-fb3837565081,f94c9423-2671-4c2a-bcbe-c668e22ea84e,2023-04-24 08:22:03,f94c9423-2671-4c2a-bcbe-c668e22ea84e,2023-04-24 03:56:15,0,50,5,5,,_binary '0',_binary '0',2023-04-24 03:55:07,2023-04-24 08:22:23,NULL,ACCEPTED,34108018,2464168,0,60,Hello,2023-04-24 18:30:00,17cb0d77-8169-4f01-a7bd-e019cf08d7eb,f94c9423-2671-4c2a-bcbe-c668e22ea84e,05403740-4213-41d4-8351-9b5252547172,NULL,NULL,NULL,NULL,42.00
05f8d8d2-230e-4324-9b84-f961c384df3d,54fea194-4220-40ff-83dd-00c5a946dc25,2023-03-22 07:04:26,54fea194-4220-40ff-83dd-00c5a946dc25,2023-03-23 09:10:30,0,25,10,10,,_binary '0',_binary '0',2023-03-23 09:10:29,2023-03-23 09:05:11,NULL,ACCEPTED,33801630,2070996,0,30,NULL,2023-03-23 09:03:54,13c16671-5fe7-4344-a7a3-c5ea3b4a40ef,54fea194-4220-40ff-83dd-00c5a946dc25,cf31e465-381d-4591-b244-0a2bb5bce5c7,NULL,NULL,NULL,NULL,42.00
06264ed1-9e67-4fc2-85dc-4a59596c622a,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-11 10:30:01,6de24c94-6486-4a16-95d0-404ce86f6034,2024-04-11 10:31:55,0,10,0,0,NULL,_binary '0',_binary '0',2024-04-11 10:31:49,2024-04-11 10:30:01,NULL,HIRED,57587706,3865004,0,0,NULL,NULL,64cf5cab-fa26-422b-ba89-e1a5ea345c6b,6de24c94-6486-4a16-95d0-404ce86f6034,e8bf7de0-20d1-48b2-bf74-0e80723a4bf1,NULL,6de24c94-6486-4a16-95d0-404ce86f6034,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL,NULL
0652dadf-8750-4f0e-9a6e-8720ddd38f03,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-18 10:00:20,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-07-18 10:00:20,0,100,0,300,NULL,_binary '0',_binary '0',NULL,2024-07-18 10:00:20,NULL,OFFER_NEGOTIATION,NULL,NULL,0,0,NULL,NULL,f4bbcd14-cfdf-42a8-b732-eaa18771d585,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,20118dd4-773f-47c3-b32a-db8efdfe213a,61703f25-0098-4ed7-bc9f-e8f65e8953f8,c8367fc3-d459-4b83-b48b-37521e6d4795,61703f25-0098-4ed7-bc9f-e8f65e8953f8,NULL,NULL
0772dab2-540f-4e07-af94-153a2af6f08d,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-12-15 09:52:20,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-12-15 09:57:03,0,15,5,5,,_binary '0',_binary '0',2022-12-15 09:57:03,2022-12-15 09:52:54,NULL,ACCEPTED,32470738,2062698,0,20,I would like to join,2022-12-16 18:30:00,c7531961-ba85-493d-b084-6be235dd0064,9e11456c-f0f6-48c7-9cbf-6f4447379727,9f5e473a-840c-4c67-9359-cb15e7405c9b,NULL,NULL,NULL,NULL,0.00
