id,created_by,created_date,updated_by,updated_date,annual_salary_from,annual_salary_to,city,description,jd_skills_extracted,employment_type,estimated_start_date,hourly_rate_from,hourly_rate_to,is401kretirement,is_health_benifit,is_pay_for_milage,is_per_diem,is_relocation_benifit,is_yearly_bonus,job_cancelled_date,job_completed_date,job_posted_date,job_type,last_saved_step,latitude,location,longitude,milage_rate,minimum_mile,no_of_opening_job,per_diem_rate,region,special_qualification,state,status,title,worker_margin,zip_code,assigned_to,experience_id,job_title,supervisor,user_id,job_number
00a19bb0-189c-442e-afee-3eef3a97801c,c8367fc3-d459-4b83-b48b-37521e6d4795,2021-07-01 12:22:41,NULL,2021-07-01 12:37:00,0,0,Athens,"<ul><li>Identify workplace safety hazards and take all necessary steps to assist site management in corrective action to eliminate or minimize them. Document actions on daily activity report</li><li>Implement the Zero Injury System of safety excellence on the projects</li><li>Understand and implement safety policies and procedures</li><li>Understand all environmental permitting regulations and measures to ensure compliance</li><li>Understand all environmental permitting regulations and measures to ensure compliance</li><li>Participate in site inspections and testing as necessary and compile DFR in timely fashion</li><li>Review safety program documentation, record keeping, document posting, trenching and scaffold permitting and regulatory compliance documentation</li><li>Present safety emphasis to site employees as identified</li><li>Participate in and lead emergency responses</li><li>Maintain Site Metrics and share with site and corporate management</li></ul><p><strong>Planning:</strong></p><ul><li>Assist management in writing, organizing and implementing the job site safety plans</li><li>Work directly with Project Manager and management team to develop, implement and maintain an effective site-specific safety plan</li><li>Work with Safety Department on overall program, project training needs, injury management, citation management, OSHA/MSHA reporting requirements and other applicable matters</li></ul><p><br></p><p><strong>EDUCATION AND WORK EXPERIENCE REQUIREMENTS:</strong></p><ul><li>Minimum of 2 years of construction safety management experience and have demonstrated the ability to provide a high level of safety leadership to both management and craft workers</li><li>A high school diploma or GED is required</li><li>Osha 500</li></ul>","corrective action, compile, trenching, OSHA, regulatory compliance, management, project manager, writing, activity, leadership, management team, construction safety, site safety, program training, workplace safety, environmental, maintain",WORKER_1099,2021-07-11 18:30:00,50,65,0,_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',NULL,NULL,2021-07-01 12:22:55,OPEN_MARKET_REQUEST,0,44.92311420000001,"Athens, ME, USA",-69.67282960000001,0,0,1,0,North-East,    Looks for unsafe actsn    Incident investigationsn    Daily Meetings in reference to Safety protocolsn    Willing to travel around MEn    Osha 500n    Well versed in Construction Safety guidelinesn    ideally travels to 2 sites a day,Maine,IN_PROGRESS,Solar Site Safety Inspector,0,04912,NULL,35b2d988-8fc1-466b-a633-1953470e2bbb,1c31a5a4-075b-450d-99e0-ade441b1418b,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,3719
0141b21e-7f74-4822-9af5-8a5c46f3ffa2,1459f8aa-5b5e-45f2-9bdc-f3097960a439,2022-03-02 14:51:53,NULL,2022-03-02 14:52:46,50000,54000,Hagerstown,"<p class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">This position assists in construction, erection and repair of towers and co-location system placement.</span></p><p class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">&nbsp;</span></p><p class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Essential Job Duties and Responsibilities</span></p><ul><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Climbing towers and ladders at various heights</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Erection of various tower types</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Off-loading material</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Preparation and cleaning of sites</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Installation of new carriers on new build and existing towers</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Instruct and following of Fall Safety procedures</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Material inventory</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Capable of leading junior hands while on tower under the direction of foreman</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Identify and select the proper rigging materials per weight and size of load</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Perform guy wire change outs, tower modifications and plumb and tension</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Ability to read a compass, set azimuths and down tilts per specifications</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Capable of site layout according to prints</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Serve as a mentor to new less experienced technicians</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Other duties as assigned.</span></li></ul><p>&nbsp;</p><ul><li><span style=""color: rgb(51, 51, 51);"">High school diploma or GED equivalency</span></li><li><span style=""color: rgb(51, 51, 51);"">A minimum of 4 years tower experience</span></li><li><span style=""color: rgb(51, 51, 51);"">Industrial first aid</span></li><li><span style=""color: rgb(51, 51, 51);"">Ability to read, comprehend and carry out instructions per prints</span></li><li><span style=""color: rgb(51, 51, 51);"">Organized with a strong attention to detail and capable of working with minimum supervision</span></li><li><span style=""color: rgb(51, 51, 51);"">Demonstrated expertise in construction skills, rigging, safety and general industry knowledge.</span></li><li><span style=""color: rgb(51, 51, 51);"">Extensive rigging experience with ability to pass Rigging Course</span></li><li><span style=""color: rgb(51, 51, 51);"">Familiarity with crane signals and gin pole operations</span></li><li><span style=""color: rgb(51, 51, 51);"">Complete installation of lighting systems with the ability to troubleshoot</span></li><li><span style=""color: rgb(51, 51, 51);"">Working knowledge of safety standards and regulations</span></li><li><span style=""color: rgb(51, 51, 51);"">Must have the ability to climb towers, be able to pick up 50 lbs., and be capable of working up to 12 hours on occasion.</span></li></ul><p><span style=""color: rgb(51, 51, 51);"">Additional Information</span></p><ul><li><span style=""color: rgb(51, 51, 51);"">Individuals must have a valid driver's license and driving record meeting the company policy conditions.</span></li><li><span style=""color: rgb(51, 51, 51);"">Must be available to work weekends and/or nights, in extreme weather conditions if necessary, and be willing to travel extensively.</span></li><li><span style=""color: rgb(51, 51, 51);"">Must be able to work out of market or away from home as work demands.</span></li><li><span style=""color: rgb(51, 51, 51);"">Other duties as assigned</span></li></ul><p><br></p>","installation, compass, safety standard, azimuths, weather, additional, license, instructions, comprehend, construction, plumb, industry, valid, read, rigging",FULL_TIME,2022-04-03 18:30:00,0,0,1,_binary '',_binary '0',_binary '0',_binary '',_binary '',NULL,NULL,2022-03-02 14:52:46,OPEN_MARKET_REQUEST,0,39.6417629,"Hagerstown, MD, USA",-77.71999319999999,0,0,2,0,North-East,,Maryland,POSTED,Tower Technician III,0,21740,NULL,46e16d41-a356-4a11-9581-d8321e2c9bd5,acdbeaba-7a8d-4594-938b-d48355ce25e8,NULL,1459f8aa-5b5e-45f2-9bdc-f3097960a439,1985
01563a68-580a-4615-ab31-52b0c10312b8,c8367fc3-d459-4b83-b48b-37521e6d4795,2023-01-20 09:55:34,NULL,2023-03-21 06:41:50,75000,125000,Irving,"<p>Duties will include:</p><ul><li>Prepare / Review Pro-Forma and Separate Company Federal income tax returns;</li><li>Assist in preparing the Consolidated Federal income tax return, Forms 5471, Partnership and state returns;</li><li>Maintain knowledge &amp; proficiency in current federal and state income tax laws and regulations;</li><li>Assist with the preparation of quarterly and year-end FAS 109 financial reporting; Reconcile / Review deferred tax schedules;</li><li>Assist in gathering information, researching tax issues, and drafting formal responses to federal and state audit requests; and</li><li>Other duties as assigned</li></ul><p><strong><em>Basic Job Requirements</em></strong></p><ul><li>Must have an accredited 4-yr degree in accounting or related field</li><li>Must have 5+ years of relevant federal and state income tax experience in public accounting and/or large multinational company</li></ul><p><strong><em>Other Job Requirements</em></strong></p><p>Must have strong computer skills in MS Office software</p><ul><li>Experience with tax compliance and provision software such as OneSource Income Tax, Tax Stream or CorpTax</li><li>Experience with SAP or other ERP systems</li><li>Demonstrate the ability to work in a complex environment in areas including, but not limited to:</li></ul><p>             - Work independently or within a team as required</p><p>             - Mentor others</p><p>             - Effectively communicate with staff and Tax Department management</p><p>             - Be flexible and adaptable to change</p><p>             - Strong organization and documentation skills</p><p>             - Develop productive relationships with other departments and offices</p><p><strong><em>Preferred Qualifications</em></strong></p><ul><li>Prefer local candidates as relocation assistance will NOT be provided</li><li>Prefer experience in partnership taxation and Form 5471 filings</li><li>Certified Public Accountant (CPA) and/or Juris Doctor Law (JD) certification or global equivalent</li></ul><p><br></p>","tax return, jd, income tax, adaptable, researching tax, defer tax, gathering information, limited, accounting, state income tax, federal income tax, juris doctor, audit, communicate, public accountant, partnership taxation, management, tax compliance, financial reporting, tax law, consolidated",FULL_TIME,2023-03-26 18:30:00,0,0,1,_binary '',_binary '0',_binary '0',_binary '',_binary '',NULL,NULL,NULL,OPEN_MARKET_REQUEST,0,32.8140177,"Irving, TX, USA",-96.9488945,0,0,3,0,Mid-Atlantic,,Texas,POSTED,Senior Tax Analyst,0,75014,NULL,99a49acb-c876-48de-848b-99f13f70bf0b,308febbd-1568-4191-8f5d-80205ba24428,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,5389
019e283f-1f41-49c9-b4da-b902aaca8ef0,c8367fc3-d459-4b83-b48b-37521e6d4795,2023-02-25 15:45:43,NULL,2023-02-25 16:00:06,42000,62000,Chattanooga,"<p>Our Service Technicians regularly install propane tanks for residential and commercial customers, as well as install, service, and maintain gas comfort equipment such as water heaters, dryers, ranges/stoves, fireplaces, generators, and more.&nbsp;This is a great position for someone who has prior propane, appliance installation/repair, or mechanical experience and would enjoy working locally.</p><p>The position requires customer service skills, occasional on-call duty, and being a contributing member of a team environment. There is a lot of growth potential with this particular opening and our company. A strong commitment to safety, consistent with company policy, is a must.</p>","mechanical, customer service, locally, commercial, install, position, propane, dryers, installation, maintain",FULL_TIME,2023-03-17 18:30:00,0,0,1,_binary '',_binary '0',_binary '0',_binary '',_binary '',NULL,NULL,NULL,OPEN_MARKET_REQUEST,0,35.0457984,"Chattanooga, TN, USA",-85.3093995,0,0,1,0,South-East,,Tennessee,POSTED,Gas Service Technician,0,37363,NULL,b6db52f0-eeda-467d-b8b3-efdde0ff5859,1ec6ec26-36c6-4a33-9500-bf6d3ab6502f,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,3868
01bf8a5b-33ee-4997-a73c-a79a76131058,c8367fc3-d459-4b83-b48b-37521e6d4795,2022-02-16 07:47:53,NULL,2022-02-24 17:15:54,0,0,Holten,<p>Site worker</p>,No Skills Found,WORKER_1099,2022-02-20 18:30:00,10,15,0,_binary '0',_binary '',_binary '',_binary '0',_binary '0',2022-02-24 17:15:54,NULL,2022-02-16 07:48:23,OPEN_MARKET_REQUEST,0,52.2752931,"Handelsweg 34, 7451 PJ Holten, Netherlands",6.401622999999999,5,10,2,5,North-East,,Overijssel,CANCELLED,Job 12,0,7451P,NULL,b6db52f0-eeda-467d-b8b3-efdde0ff5859,27d67f27-1002-4759-ba68-120efa610edd,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,2800
01e0db0c-c0df-43a1-86e2-5fecf418829f,c8367fc3-d459-4b83-b48b-37521e6d4795,2023-07-11 08:43:39,NULL,2023-08-02 05:10:58,50000,60000,Cologne,<p>review job</p>,No Skills Found,FULL_TIME,2023-08-14 18:30:00,0,0,1,_binary '',_binary '0',_binary '0',_binary '',_binary '',NULL,NULL,NULL,OPEN_MARKET_REQUEST,0,50.8622044,"Sürth, Cologne, Germany",7.0071566,0,0,123,0,Rodenkirchen,,North Rhine-Westphalia,POSTED,HSZ Review job,0,12343,NULL,b6db52f0-eeda-467d-b8b3-efdde0ff5859,31704d86-10cb-4e34-8da3-1d549fb79a03,NULL,b91189e3-47b3-44b1-a685-0252e97c7d1c,2751
027f3513-ce7a-4d5d-8ff2-335435b19bc0,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-04-02 05:45:39,NULL,2024-04-02 05:46:09,0,0,Johor Bahru,"<h3><strong>The standard Lorem Ipsum passage, used since the 1500s</strong></h3><p class=""ql-align-justify"">""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.""</p><h3><strong>Section 1.10.32 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</strong></h3><p class=""ql-align-justify"">""Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?""</p><h3><strong>1914 translation by H. Rackham</strong></h3><p class=""ql-align-justify"">""But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness. No one rejects, dislikes, or avoids pleasure itself, because it is pleasure, but because those who do not know how to pursue pleasure rationally encounter consequences that are extremely painful. Nor again is there anyone who loves or pursues or desires to obtain pain of itself, because it is pain, but because occasionally circumstances occur in which toil and pain can procure him some great pleasure. To take a trivial example, which of us ever undertakes laborious physical exercise, except to obtain some advantage from it? But who has any right to find fault with a man who chooses to enjoy a pleasure that has no annoying consequences, or one who avoids a pain that produces no resultant pleasure?""</p><h3><strong>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</strong></h3><p class=""ql-align-justify"">""At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat.""</p><h3><strong>1914 translation by H. Rackham</strong></h3><p class=""ql-align-justify"">""On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish. In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.""</p><p><br></p>",NULL,WORKER_W2,2024-04-15 18:30:00,45,65,0,_binary '0',_binary '',_binary '',_binary '0',_binary '0',NULL,NULL,2024-04-02 05:46:09,OPEN_MARKET_REQUEST,0,1.4858456,"LG 64, 33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor, Malaysia",103.762422,61,45455,12,15,Taman Abad,,Johor,POSTED,Windmill technician,0,80250,NULL,8fe2bfbc-5b67-47b0-bb9d-675c2b5ab9a2,acdbeaba-7a8d-4594-938b-d48355ce25e8,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,2058
0327d3c5-bf7d-42c9-901d-6ce2b2b46e98,1459f8aa-5b5e-45f2-9bdc-f3097960a439,2022-03-06 08:16:01,NULL,2022-03-06 08:16:29,37500,42000,Carencro,"<p class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">If you are looking for a career in a rapidly expanding, growth oriented industry. MasTec Network Solutions has an exciting career opportunity for you! We are a telecommunications services company that offers wireless network operators a variety of services such as Equipment Installation and Commissioning, Microwave Engineering, Civil Construction, Maintenance, and EF&amp; I Services. We also provide structured, in-class and field training services to people interested in a career as a Tower Technician. As a Technician you will assist in the construction, installation, and maintenance of communications tower and support structures. Being a Tower Technician is not for the faint at heart but with MasTec Network Solutions it can be an exciting and challenging career opportunity. Tower Technicians work irregular hours, travel frequently, and work at great heights in extreme weather conditions. At MasTec Network Solutions we recognize our success depends on our exceptional technicians they work hard so opportunities and incentive programs are in place that recognizes top performers for a job well done. If you truly have what it takes to be a great Tower Technician, this is the place to build your career! We are a reputable company that rewards your hard work. We also offer competitive compensation, benefits, and advancement opportunities.</span></p><p class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">&nbsp;</span></p><p class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">As a Tower Technician I, your responsibilities will include:</span></p><ul><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Climbing and working on communications towers for the purpose of installing, replacing, and repairing antenna systems equipment performs tower maintenance under close supervision.</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">The basic use and care of hand tools and mechanical equipment.</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Knowing the hazards associated with tower climbing, construction equipment, and working on or near energized lines and equipment.</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">The ability to climb tall structures (100 feet or more) with 50 lb. load.</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Analyzing situations accurately and adopt an appropriate course of action.</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Communicating orally and in writing.</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Following instructions accurately and complete assigned course of action.</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Recognizing safety hazards and performing duties in a safe manner.</span></li><li class=""ql-align-justify""><span style=""color: rgb(51, 51, 51);"">Work under close supervision.</span></li></ul><p>&nbsp;</p><ul><li><span style=""color: rgb(51, 51, 51);"">High school diploma or GED equivalency</span></li><li><span style=""color: rgb(51, 51, 51);"">Minimum of 2 years’ tower experience</span></li><li><span style=""color: rgb(51, 51, 51);"">Must have the ability to climb towers, be able to pick up 50 lbs., and be capable of working up to 12 hours.</span></li><li><span style=""color: rgb(51, 51, 51);"">Individuals must have a valid driver’s license and driving record meeting the company policy conditions.</span></li><li><span style=""color: rgb(51, 51, 51);"">Must be available to work weekends and/or nights, in extreme weather conditions if necessary, and be willing to travel extensively.</span></li><li><span style=""color: rgb(51, 51, 51);"">Must be able to work out of market or away from home as work demands.</span></li><li><span style=""color: rgb(51, 51, 51);"">Industrial first aid</span></li><li><span style=""color: rgb(51, 51, 51);"">Ability to read, comprehend and carry out instructions per prints</span></li><li><span style=""color: rgb(51, 51, 51);"">Organized with a strong attention to detail and capable of working with minimum supervision</span></li><li><span style=""color: rgb(51, 51, 51);"">Working knowledge of safety standards and regulations</span></li></ul><p><br></p><p><span style=""color: rgb(51, 51, 51);"">Additional Information</span></p><ul><li><span style=""color: rgb(51, 51, 51);"">Individuals must have a valid driver's license and driving record meeting the company policy conditions.</span></li><li><span style=""color: rgb(51, 51, 51);"">Must be available to work weekends and/or nights, in extreme weather conditions if necessary, and be willing to travel extensively.</span></li><li><span style=""color: rgb(51, 51, 51);"">Must be able to work out of market or away from home as work demands.</span></li><li><span style=""color: rgb(51, 51, 51);"">Other duties as required</span></li></ul><p><br></p>","installing, industrial, communicating, weather, microwave engineering, repairing, industry, valid, construction, adopt, telecommunications service, installation, wireless network, mechanical, safe, instructions, supervision, tools, antenna systems, comprehend, read, safety standard, communications, writing, license, field services, operators, commissioning",FULL_TIME,2022-04-03 18:30:00,0,0,1,_binary '',_binary '0',_binary '0',_binary '',_binary '',NULL,NULL,2022-03-06 08:16:29,OPEN_MARKET_REQUEST,0,30.317144,"Carencro, LA, USA",-92.04900959999999,0,0,2,0,South Central,,Louisiana,POSTED,Tower Technician I,0,70507,NULL,46e16d41-a356-4a11-9581-d8321e2c9bd5,c050c965-20e6-4aa5-b7e1-f1ce4b3cda03,NULL,1459f8aa-5b5e-45f2-9bdc-f3097960a439,5073
0351918c-467d-460c-8425-870c27b2da74,c8367fc3-d459-4b83-b48b-37521e6d4795,2023-03-21 05:17:00,NULL,2024-02-21 09:36:22,111500,156000,Buda,"<p><span style=""background-color: white; color: black;"">The purpose of this position is to oversee and direct the performance of all field construction activities for assigned craft areas in conformance with plans, specifications, schedules, and cost estimates. This requires a thorough working knowledge and background of assigned work, the ability to cope with complex situations through deliberate analysis and planning and see actions in terms of longer-term goals. As a significantly experienced superintendent, it requires directing other line supervision as necessary in their roles to meet or exceed all project objectives. This position requires the ability to coordinate and direct construction craftsmen in numerous crafts within the assigned area of responsibility. This position is typically responsible for numerous crafts, multiple areas, and/or large numbers of craftsmen; and often including direct oversight or coordination of other contractors/subcontractors.</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• Plan and direct the work activities of all involved crafts for assigned construction crafts in alignment with available engineering deliverables, tools, construction equipment, and materials</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• Approve or authorize the coordination of craft personnel, material, and equipment needed to meet schedules; typically responsible to establish construction crew organization and composition including craftsmen qualification level, foremen and general foremen</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• Directly support project and construction management with planning and utilization of proper means and methods for all construction activities</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• Analyze situations, identify and forecast pertinent problems and evaluate realistic options; and recommend/implement appropriate course of action</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• Other duties as assigned</span></p><p><strong style=""background-color: white; color: black;""><em>Basic Job Requirements: </em></strong></p><p><br></p><p> • Craft certification, training, and experience appropriate for assignment scope; directly related experience equal to fifteen (15) years; some locations may have additional or different qualifications in order to comply with local requirements</p><p> • Ability to communicate effectively with audiences that include but are not limited to management, coworkers, clients, vendors, contractors, and other stakeholders</p><p> • Job related technical knowledge necessary to complete the job</p><p> • Ability to learn and apply knowledge of applicable local, state/province, and federal/national statutes and guidelines</p><p> • Ability to attend to detail and work in a time-conscious and time-effective manner</p><p><br></p><p><strong style=""background-color: white; color: black;""><em>Other Job Requirements:</em></strong></p><p><span style=""background-color: white; color: black;"">• Typically direct subordinate Craft Superintendents, and other craft supervision positions such as General Foremen and Foremen; depending on job size and complexity</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• Typically serve as lead person to coordinate all activities within an active construction work area</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• Coordinate and implement indirect activities, internal and external, required to support a productive construction execution; including functional staff support, support craft activities, and any other resource necessary to assure a safe and quality execution</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• Generally responsible to assure all work undertaken is within approved scope boundaries and is in full compliance with all pertinent requirements</span></p><p><span style=""color: black;""> </span><span style=""color: black; background-color: white;"">• May represent the company as the in situ senior staff position directly overseeing and responsible for the work performed by construction craftsmen</span></p><p><strong style=""background-color: white; color: black;""><em>Preferred Qualifications:</em></strong></p><p>Heavy Highway Civil Experience</p><p> • Proven ability promoting outstanding customer service and client relations</p><p> • Excellent skills in interpersonal relations, conflict resolution</p><p> • Basic computer and software skills to include the use of word processing, e-mail, spreadsheets and electronic presentation programs</p><p> • Functional proficiency in project controls, human relations, industrial relations, and contract management as it applicable to assigned area of responsibility</p><p> • Demonstrated strong decision making, critical thinking and problem solving skills</p>","cost estimates, additional, relations industrial, electronic, activities, problem solve, construction, numbers, construction management, coordinate, active, controls, limited, forecast, conflict resolution, safe, resource, supervision, industrial relation, planning, composition, plans, presentation program, word processing, communicate, tools, coordination, position, critical thinking, e, plan, staff support support, human relations, spreadsheets, schedules, longer term, customer service, contract management, management, level, deliberate, positions, decision make, execution",FULL_TIME,2023-03-26 18:30:00,0,0,1,_binary '',_binary '0',_binary '0',_binary '',_binary '',NULL,NULL,NULL,OPEN_MARKET_REQUEST,2,30.0817231,"Buda, TX 78610, USA",-97.8428927,0,0,1,0,South Central,,Texas,IN_PROGRESS,General Superintendent I - Structures EML,0,78610,NULL,8fe2bfbc-5b67-47b0-bb9d-675c2b5ab9a2,5c4fed83-9bbf-4737-a4f9-bf35a2c77341,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,8422
042c663c-8c37-4f36-aa37-b7ca2f4c0658,c8367fc3-d459-4b83-b48b-37521e6d4795,2022-02-22 03:19:51,NULL,2022-02-24 16:46:21,0,0,Aaronsburg,<p>Apprentice electrician</p>,No Skills Found,WORKER_1099,2022-02-27 18:30:00,15,16,0,_binary '0',_binary '',_binary '',_binary '0',_binary '0',2022-02-24 16:46:21,NULL,2022-02-22 03:26:25,OPEN_MARKET_REQUEST,0,40.7470357,"56-45 Main St, Queens, NY 11355, USA",-73.82535659999999,6,5,5,10,Queens,,New York,CANCELLED,JOB 22,0,11355,NULL,b6db52f0-eeda-467d-b8b3-efdde0ff5859,27d67f27-1002-4759-ba68-120efa610edd,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,2302
