id,created_by,created_date,updated_by,updated_date,city,cost,description,job_code,latitude,location,longitude,state,status,title,zip_code,assigned_to,project_id,supervisor,user_id,attachment_link,jobsite_type,annual_salary_from,annual_salary_to,estimated_start_date,hourly_rate_from,hourly_rate_to,is401kretirement,is_health_benifit,is_pay_for_milage,is_per_diem,is_relocation_benifit,is_yearly_bonus,job_type,last_saved_step,milage_rate,minimum_mile,no_of_opening_job,per_diem_rate,region,special_qualification,worker_margin,experience_id,job_title,jobsite_number
003ec9d3-79a4-4275-9cdb-a3e33ba4ab47,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-07-08 04:20:22,b91189e3-47b3-44b1-a685-0252e97c7d1c,2024-07-08 10:33:01,Thành phố Đà Lạt,111,"The standard Lorem Ipsum passage, used since the 1500sn""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim ven",DFkjw5,11.9266145,"Đèo, Tiểu khu 158, Thành phố Đà Lạt, Lâm Đồng, Vietnam",108.3712692,Lâm Đồng,IN_PROGRESS,ABC jobsite,154554545,73c35bda-c637-4513-a758-b9491df12540,1b0d48c5-65c8-4dd7-9db0-39107ab86773,NULL,b91189e3-47b3-44b1-a685-0252e97c7d1c,https://www.lipsum.com/,0,0,0,NULL,0,0,_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',NULL,0,0,0,0,0,NULL,NULL,0,NULL,NULL,2087
005c86f0-513c-4dae-ace9-d92dbdfde807,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2023-09-01 10:21:32,19430a8c-6324-4105-8fc5-b7973e8f5d7f,2023-09-01 12:26:53,Hamilton,2000,NcnP3 JS1,12345,43.2557206,"Hamilton, ON, Canada",-79.8711024,Ontario,IN_PROGRESS,NcnP3 JS1,12345,a3d2b1e9-d64f-46b7-85f5-af83442a5547,35ac831d-fe3f-47ce-b4aa-c4798ad67bcf,NULL,19430a8c-6324-4105-8fc5-b7973e8f5d7f,,0,0,0,NULL,0,0,_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',NULL,0,0,0,0,0,NULL,NULL,0,NULL,NULL,1716
0089db63-0677-40d6-ba46-bbf779342060,NULL,2023-04-19 12:27:24,NULL,2023-04-19 12:27:41,Kamrej,0,Esse velit in aut at commodo est,Rerum eiusmod illo aut soluta ,21.2695241,"Kamrej, Gujarat, India",72.9576601,Gujarat,POSTED,Modi voluptas ea sunt veniam et ut praesentium qu,39500,NULL,7df0fcf8-a053-48e7-8fff-b1b28ebf5a3a,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL,1,0,0,2023-04-19 18:30:00,20,25,_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',1,0,0,0,2,0,Mid-Atlantic,Voluptatum ipsam nihil ea dolor corporis quas aperiam voluptas voluptatem qui est,0,b6db52f0-eeda-467d-b8b3-efdde0ff5859,bf761909-f824-4a08-9ed4-c81524159420,4127
008a324c-5b88-434e-ada5-2176877a2e54,NULL,2025-04-24 05:24:14,NULL,2025-04-28 10:22:59,Rockford,0,Install photovoltaic panels on commercial rooftops.	,20025,42.2356002,"123 Energy Ave, Rockford, IL 61109, USA",-89.0981501,Illinois,POSTED,Solar Panel Installation - Phase 1	,61109,NULL,d269679b-1b13-4015-b14b-2c4190ad2335,NULL,c0f385bf-790f-431d-8dc4-1bf83ba3a392,NULL,1,0,0,2025-05-13 18:30:00,20,40,_binary '0',_binary '0',_binary '',_binary '',_binary '0',_binary '0',0,0,4,2,5,2,South-West,OSHA 30 Certification	,0,99be5f9d-cb2c-4dbe-a631-2077ac6a0313,a85d033b-ff7c-4afa-94e8-f848073b9580,3476
00a056af-de3b-442e-af67-eacbe41b8492,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-15 03:53:43,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-03-01 06:13:22,Seattle,777,test,fg4,47.62352,"511 Queen Anne Ave N, Seattle, WA 98109, USA",-122.3571569,Washington,IN_PROGRESS,Jobsite2,98109,a3d2b1e9-d64f-46b7-85f5-af83442a5547,31fd0781-f3b3-4773-a193-577192a310b3,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,0,0,0,NULL,0,0,_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',NULL,0,0,0,0,0,NULL,NULL,0,NULL,NULL,5370
00cafe16-5112-42c8-97c6-7c9123d6597e,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-22 06:37:03,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-02-22 06:48:05,New York,0,TETETETST,SAS0654,40.7127753,"New York, NY, USA",-74.0059728,New York,DRAFT,Marketplace,46544,NULL,99d8c03e-a504-4b26-8e66-35da17e8d7ec,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,0,0,0,NULL,0,0,_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',NULL,0,0,0,0,0,NULL,NULL,0,NULL,NULL,2046
010286ad-4506-4ecb-b38c-2bcea109973b,23c07bea-e6ef-4332-be1f-aafcfae965e9,2023-11-16 10:37:08,23c07bea-e6ef-4332-be1f-aafcfae965e9,2023-11-16 11:19:51,Geffen,120,CA,11234,51.7377855,"Geffen, Netherlands",5.458273699999999,North Brabant,POSTED,NTC P1 JS1,12434,NULL,e74456d0-847d-4f8d-ab79-833d1920792a,NULL,23c07bea-e6ef-4332-be1f-aafcfae965e9,,0,0,0,NULL,0,0,_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',NULL,0,0,0,0,0,NULL,NULL,0,NULL,NULL,2482
01510b38-09a2-4d9f-ba23-8cb8b9f0d59a,NULL,2024-02-09 05:03:10,NULL,2024-02-09 10:48:00,Dhahran,0,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.nnThe standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.",dg56,26.3070624,"Academic Belt Road, Dhahran 31261, Saudi Arabia",50.1458938,Eastern Province,IN_PROGRESS,Product manager,31261,54fea194-4220-40ff-83dd-00c5a946dc25,753cd1fe-cc94-4ddb-975c-f86b61896658,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL,1,0,0,2024-02-14 18:30:00,25,27,_binary '0',_binary '0',_binary '',_binary '',_binary '0',_binary '0',0,0,564,12550,8,654,North-East,,0,af59337e-2550-4365-ad92-7dbb94899108,21c77c81-aed7-4b2d-b5c5-487c5d913b37,4101
019a3187-9e28-4220-80d7-1551d74af4a4,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-08-02 09:32:38,c8367fc3-d459-4b83-b48b-37521e6d4795,2024-08-02 09:36:14,Hyderabad,300,Testing,11,17.437143,"Asian Allu Arjun Cinemas, Satyam Theatre Rd, X RoadKumar Basti, Swathi Avenue",78.44863869999999,Telangana,IN_PROGRESS,Fix rate 1,500082,a3d2b1e9-d64f-46b7-85f5-af83442a5547,de29d25f-2436-4e1e-b9af-14f8975156bb,NULL,c8367fc3-d459-4b83-b48b-37521e6d4795,,0,0,0,NULL,0,0,_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',_binary '0',NULL,0,0,0,0,0,NULL,NULL,0,NULL,NULL,5795
0264f8cb-2f42-4d56-bffc-bfb48666a760,NULL,2024-06-07 04:39:41,NULL,2024-08-21 11:52:10,Dubai,0,Test,878S,25.2048493,Dubai - United Arab Emirates,55.2707828,Dubai,POSTED,intuit,21212,NULL,938b01ec-58b7-46f9-9cf5-c0967da8ec08,NULL,b91189e3-47b3-44b1-a685-0252e97c7d1c,NULL,1,0,0,2024-06-24 18:30:00,122,456,_binary '0',_binary '0',_binary '',_binary '',_binary '0',_binary '0',0,0,456,1011,1,452,North-West,,0,af59337e-2550-4365-ad92-7dbb94899108,91e9943d-03a2-4436-93d5-452ac58a7ec6,3039
