id,created_by,created_date,updated_by,updated_date,has_marked_favourite,project_detail_id,subcontractor_id
322d1000-b766-4eb7-890b-2a1318f57c44,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-07-11 12:35:36,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-07-11 12:35:36,_binary '',1f1f50a9-3774-42ae-a66b-2c37a01c69a2,a3d2b1e9-d64f-46b7-85f5-af83442a5547
326e4e14-4995-42d1-bf44-5f5a5f874d33,c1e99329-85c4-457f-9e56-40760d57aff5,2024-02-28 12:32:46,c1e99329-85c4-457f-9e56-40760d57aff5,2024-02-28 12:32:46,_binary '0',8b7d2cbc-9c5f-4d42-a390-48f2f69a89fb,c1e99329-85c4-457f-9e56-40760d57aff5
3bbf57d8-151c-4542-95f5-b734f27242fa,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-12 09:30:40,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-12 09:31:46,_binary '0',fc88bc02-4f37-431b-a805-34788f43324c,8e9967a6-5915-45d4-a25e-11b1876d18df
3cfee2bb-9c1e-4585-9338-95c4bc02f983,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-11 12:15:24,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-11 12:15:24,_binary '',063c2c14-a010-40fc-b950-a300e0756df5,8e9967a6-5915-45d4-a25e-11b1876d18df
42a991dc-58f3-44f0-861a-abe1c9d92e3a,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-02-28 12:25:04,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-02-28 12:25:14,_binary '',8b7d2cbc-9c5f-4d42-a390-48f2f69a89fb,a3d2b1e9-d64f-46b7-85f5-af83442a5547
6283c46e-e304-4a29-8129-7b9cea73707c,6fdfa82e-6825-4658-a162-a518011bffd8,2025-04-30 05:52:47,6fdfa82e-6825-4658-a162-a518011bffd8,2025-04-30 05:52:47,_binary '0',64c1e657-18d7-4898-9bba-836061f604bc,6fdfa82e-6825-4658-a162-a518011bffd8
6e7692e1-736a-4eb5-8ca5-af804d46b2e3,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-12 09:23:35,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-12 09:23:35,_binary '',136ede8f-7e15-47ac-bb46-2646953035ff,8e9967a6-5915-45d4-a25e-11b1876d18df
7567ed9a-3650-4ee5-a0ca-dd91119c3111,04,2021-12-17 12:54:04,04,2021-12-17 12:54:05,_binary '0',f3f3e399-9eff-4f5e-a035-ef104855ca31,04
774ada53-3fb7-4933-89ec-ea43c931f4b3,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-12 09:24:12,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-12 09:24:12,_binary '',cd6db800-2db2-47d5-82ef-d2d257321f0d,8e9967a6-5915-45d4-a25e-11b1876d18df
90357656-22b7-4d2e-b206-7d371eff350b,c1e99329-85c4-457f-9e56-40760d57aff5,2024-02-28 12:39:59,c1e99329-85c4-457f-9e56-40760d57aff5,2024-02-28 12:39:59,_binary '0',52506704-1d22-423e-a545-db2269769851,c1e99329-85c4-457f-9e56-40760d57aff5
92a062aa-d72a-4097-bc1a-a61dba87060e,c1e99329-85c4-457f-9e56-40760d57aff5,2024-08-20 09:10:45,c1e99329-85c4-457f-9e56-40760d57aff5,2024-08-20 09:10:45,_binary '0',20bbf941-b52a-4b82-b60b-fe4c11126923,c1e99329-85c4-457f-9e56-40760d57aff5
97c3e440-19ea-45fc-99f0-0c2854e4f527,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-07-12 07:03:09,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-07-12 07:03:09,_binary '',063c2c14-a010-40fc-b950-a300e0756df5,1c414d9d-c37d-47cd-9f7d-882d51abb8e6
a3a1558e-b8a4-403d-abca-fe16fdd99e0b,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-04-23 06:54:35,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-04-23 06:54:35,_binary '0',ec77fca4-82ea-4974-adfc-1d5bf9825529,8e9967a6-5915-45d4-a25e-11b1876d18df
bc8160d1-ec78-4106-98cb-66a2a3d8b5eb,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-07-12 07:03:26,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-07-12 07:03:26,_binary '',063c2c14-a010-40fc-b950-a300e0756df5,1c414d9d-c37d-47cd-9f7d-882d51abb8e6
bf9290a8-1e96-4bb5-9af7-508ee1596019,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-07-12 06:54:03,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-07-12 06:54:03,_binary '',1f1f50a9-3774-42ae-a66b-2c37a01c69a2,1c414d9d-c37d-47cd-9f7d-882d51abb8e6
ec424cee-7cb3-4503-b5f6-a6c6a5d7ab9a,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-07-12 06:54:36,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-07-12 09:19:19,_binary '',1f1f50a9-3774-42ae-a66b-2c37a01c69a2,1c414d9d-c37d-47cd-9f7d-882d51abb8e6
f3b0c6db-4db6-4866-bd21-12facd74b0ab,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-11 12:15:09,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-11 12:15:09,_binary '',063c2c14-a010-40fc-b950-a300e0756df5,8e9967a6-5915-45d4-a25e-11b1876d18df
