id,created_by,created_date,updated_by,updated_date,auto_insurance_expiry_date,document_name,document_path,has_auto_insurance,is_background_check_and_drug_screening,is_safety_manual_followed,user_id
0a9ea4c1-162f-43e0-ae1b-d9adc62ed7e6,c1e99329-85c4-457f-9e56-40760d57aff5,2023-12-21 10:45:36,c1e99329-85c4-457f-9e56-40760d57aff5,2024-07-09 06:16:13,NULL,,,_binary '0',_binary '0',_binary '0',c1e99329-85c4-457f-9e56-40760d57aff5
1a02e847-667c-4ecc-8daa-f9c57de2e3a8,2dc73d61-8642-42b9-bcea-817ee1d1abbf,2025-04-28 12:04:01,2dc73d61-8642-42b9-bcea-817ee1d1abbf,2025-04-28 12:04:01,NULL,,,_binary '0',_binary '',_binary '',2dc73d61-8642-42b9-bcea-817ee1d1abbf
204b7f81-0e02-496a-a7ca-44038c45fc14,13c3dd8f-1a6e-4f15-b22d-2b5d3f243796,2022-06-22 10:18:16,13c3dd8f-1a6e-4f15-b22d-2b5d3f243796,2022-06-22 10:21:39,NULL,,,_binary '0',_binary '',_binary '',13c3dd8f-1a6e-4f15-b22d-2b5d3f243796
3c8279d8-11ea-4c3c-a7ce-fc943801f4f2,47a9901a-d8f7-4446-8341-e6cb74e5c1b8,2024-02-06 11:02:04,47a9901a-d8f7-4446-8341-e6cb74e5c1b8,2024-02-06 11:02:04,NULL,,,_binary '0',_binary '0',_binary '0',47a9901a-d8f7-4446-8341-e6cb74e5c1b8
6bcb5ad8-ff09-400a-ae55-753ae04f84a4,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2022-01-05 14:24:09,a3d2b1e9-d64f-46b7-85f5-af83442a5547,2024-08-07 05:46:39,2024-09-23 18:30:00,SamplePDFFile_5mb.pdf,IconicWorkerUserImages/eaa3ad43-4a53-4c12-b304-71fcf05644ac,_binary '',_binary '',_binary '',a3d2b1e9-d64f-46b7-85f5-af83442a5547
707b892b-fa25-43a5-9a88-6b0de36ee3d8,02d2d458-306b-4fc7-ac5e-229f6b46d80b,2024-02-21 12:26:42,02d2d458-306b-4fc7-ac5e-229f6b46d80b,2024-02-21 12:26:42,NULL,,,_binary '0',_binary '0',_binary '0',02d2d458-306b-4fc7-ac5e-229f6b46d80b
85c67d70-253d-4018-812f-f98960a587ee,04,2024-02-06 10:35:38,04,2024-02-06 10:35:38,NULL,,,_binary '0',_binary '0',_binary '0',04
952544d9-7588-4fd8-8ef9-e8ba6392347a,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-03-01 06:34:10,8e9967a6-5915-45d4-a25e-11b1876d18df,2024-07-10 11:44:47,NULL,,,_binary '0',_binary '0',_binary '0',8e9967a6-5915-45d4-a25e-11b1876d18df
9639ced0-1d97-4a2e-a515-f6e4edc64bcd,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-02-07 05:53:41,1c414d9d-c37d-47cd-9f7d-882d51abb8e6,2024-02-07 05:53:41,NULL,,,_binary '0',_binary '',_binary '',1c414d9d-c37d-47cd-9f7d-882d51abb8e6
a6763039-661f-4b3d-9c1e-efb02e8b13e3,73c35bda-c637-4513-a758-b9491df12540,2024-02-07 05:47:01,73c35bda-c637-4513-a758-b9491df12540,2024-08-22 11:56:42,NULL,,,_binary '0',_binary '',_binary '',73c35bda-c637-4513-a758-b9491df12540
