id,created_by,created_date,updated_by,updated_date,approved_date,billable_miles,mileage_description,non_billable_miles,overtime_hour,status,total_miles_travelled,tsheet_respose_id,week_end,week_start,work_date,work_description,work_hour,client_id,job_bid_detail_id,worker_id,jobsite_bid_detail_id,timezone
00951a8b-ddee-4fe1-a39b-3baa9e1acb66,NULL,2024-07-31 12:00:10,NULL,2024-08-27 09:47:58,NULL,0,,0,0,REJECTED,0,155445878,2024-08-04 00:00:00,2024-07-29 00:00:00,2024-07-31 00:00:00,,0.02,b91189e3-47b3-44b1-a685-0252e97c7d1c,NULL,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,66930344-a3db-41f3-b427-78c628212c20,Asia/Kolkata
017cd980-5029-48e2-a0b3-6ac05e70470b,NULL,2022-12-21 11:15:03,NULL,2023-08-17 03:40:58,2023-08-17 03:40:58,23,f. Per Diem – Travel into Market,5,10,APPROVED,0,270884286,2022-12-25 00:00:00,2022-12-19 00:00:00,2022-12-21 00:00:00,,40,c8367fc3-d459-4b83-b48b-37521e6d4795,52336539-210d-4b28-9efa-1e35661973c6,54fea194-4220-40ff-83dd-00c5a946dc25,NULL,NULL
017cd980-5029-48e2-a0b3-6ac05e70470c,NULL,2022-12-21 11:15:03,NULL,2023-08-17 03:40:59,2023-08-17 03:40:59,23,f. Per Diem – Travel into Market,5,20,APPROVED,5,270884299,2022-12-31 00:00:00,2022-12-25 00:00:00,2022-12-21 00:00:00,NULL,40,c8367fc3-d459-4b83-b48b-37521e6d4795,52336539-210d-4b28-9efa-1e35661973c6,54fea194-4220-40ff-83dd-00c5a946dc25,NULL,NULL
02592a5d-2dea-4a36-a60d-cf0a4ffdbcca,NULL,2024-04-23 04:40:05,NULL,2024-04-24 09:15:01,2024-04-24 09:15:01,100,Travel - Start of the day,0,0,APPROVED,0,53049368,2024-04-28 00:00:00,2024-04-22 00:00:00,2024-04-23 00:00:00,23-04 Tuesday,0.12,b91189e3-47b3-44b1-a685-0252e97c7d1c,NULL,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,df05790c-8f32-4d6f-8149-0befed271abf,Asia/Kolkata
027e2ca8-6614-4cc7-a794-cacc1ce0202f,NULL,2023-04-11 05:40:07,NULL,2023-04-11 12:55:08,NULL,0,,0,160.735,REQUESTED,0,294620250,2023-04-08 18:30:00,2023-04-02 18:30:00,2023-04-03 18:30:00,,168.74,c8367fc3-d459-4b83-b48b-37521e6d4795,NULL,54fea194-4220-40ff-83dd-00c5a946dc25,cbdb1e63-6ebd-4a25-8e00-318b74b711f2,NULL
03684ff5-8f1a-4c12-8b24-fa82f77bbf3b,NULL,2024-04-22 23:23:06,NULL,2024-04-22 23:23:06,NULL,1000,Travel - Start of the day,0,0,REQUESTED,0,52797820,2024-04-27 18:30:00,2024-04-21 18:30:00,2024-04-21 18:30:00,22-04,0.31666666666666665,b91189e3-47b3-44b1-a685-0252e97c7d1c,5e4e9eb9-01dd-4a0d-a23b-3568cb8edd79,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,NULL,Asia/Kolkata
03bed08a-1242-4165-922c-da52c3106d82,NULL,2024-05-03 10:15:37,NULL,2024-05-06 05:54:44,2024-05-06 05:54:44,50,Travel - Start of the day,0,0,APPROVED,0,54465576,2024-05-05 00:00:00,2024-04-29 00:00:00,2024-05-01 00:00:00,OTnAutomatically clocked out after being on the clock for 7 days. You should really take a break :)nQuickBooks Time Support,24,b91189e3-47b3-44b1-a685-0252e97c7d1c,90fe97af-93ec-4d45-ad89-c00c07b47f81,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,NULL,Asia/Kolkata
04fb701e-c181-40d5-8320-692373fc02d0,NULL,2024-08-16 00:30:06,NULL,2024-08-16 07:30:07,NULL,0,,0,0,REQUESTED,0,158261880,2024-08-10 18:30:00,2024-08-04 18:30:00,2024-08-08 18:30:00,Automatically clocked out after being on the clock for 7 days. You should really take a break :)nQuickBooks Time Support,24,c8367fc3-d459-4b83-b48b-37521e6d4795,a8956eae-d265-48dc-9ff7-245ae2bb8d19,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,NULL,Asia/Kolkata
0521df8b-de63-42f8-a112-df4f6e2948f4,NULL,2024-03-30 01:00:28,NULL,2024-04-05 07:20:09,NULL,40,Travel - Start of the day;Travel - Start of the day,0,0,REQUESTED,0,48945212;48940878,2024-03-30 18:30:00,2024-03-24 18:30:00,2024-03-28 18:30:00,BLOCKCHAIN DEVELOPER 2nd time;BLOCKCHAIN DEVELOPER testing,0.37,3f8eb79e-f046-4317-adee-7b916a3ee09e,NULL,97f643e5-b5b2-43a2-9c7a-ae9743219120,ee5ee7c9-7ae5-454a-8c5a-09c8e97ce9ae,Asia/Kolkata
06323183-731f-4719-b08f-89a011c63a8f,NULL,2024-05-03 10:15:48,NULL,2024-05-06 05:54:44,2024-05-06 05:54:44,50,Travel - Start of the day,0,0,APPROVED,0,54465580,2024-05-05 00:00:00,2024-04-29 00:00:00,2024-05-03 00:00:00,OTnAutomatically clocked out after being on the clock for 7 days. You should really take a break :)nQuickBooks Time Support,15.67,b91189e3-47b3-44b1-a685-0252e97c7d1c,90fe97af-93ec-4d45-ad89-c00c07b47f81,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,NULL,Asia/Kolkata
