id,created_by,created_date,updated_by,updated_date,can_modify,can_view,menu_name,user_id
0046cba8-bda4-43ff-ad97-3e8c2c7c0259,NULL,2023-09-13 12:38:15,NULL,2023-09-13 12:38:15,_binary '0',_binary '',Subcontractors,752fd611-5719-4e3b-9cb7-ef871480255f
00611466-5887-4963-a2ad-a1cb2c34ed1d,NULL,2023-07-28 06:47:42,NULL,2023-07-28 06:47:42,_binary '0',_binary '',Projects,18c191bf-3acf-42b7-a6f9-269d629dd762
039c3a10-610a-4799-a87d-5c86bb1fa743,NULL,NULL,NULL,2024-08-08 10:55:45,_binary '0',_binary '0',Projects,311f6d91-80b0-408f-9bae-74e2b18a73b5
03abfc70-25ec-4b68-b445-6e87a190f36c,NULL,NULL,NULL,2024-07-08 06:40:33,_binary '0',_binary '0',Masters,c12ae087-09e6-4f55-b003-36936118dc09
03b31d39-135d-467c-bb62-4d80387bb2ea,NULL,2023-07-13 09:03:31,NULL,2023-07-13 09:03:31,_binary '0',_binary '',Subcontractors,c53045b3-2e6d-44e8-8d9b-43b3fc077b89
08284b75-1640-473a-8be1-e875d5f6074b,NULL,NULL,NULL,2023-07-12 05:20:57,_binary '0',_binary '0',Reports,2b161eb7-3fe1-456f-91e8-71ffd457f117
09ffa959-3540-4577-82ac-a6d97785246c,NULL,2024-07-05 13:11:18,01,2024-07-05 13:33:11,_binary '0',_binary '',Subcontractors,c97699af-67a5-4e1b-b7c9-d3161763475e
0ac76329-8e91-4b30-9a6b-71457cd56322,NULL,NULL,NULL,2023-09-13 06:15:47,_binary '0',_binary '',Jobs,33eb3c34-6e0c-4d44-aa95-6fad80620230
11bd1369-601e-4743-9515-f03bdd0a895d,NULL,NULL,NULL,2023-07-12 05:21:22,_binary '',_binary '',Projects,456fd968-7d31-4963-ad9c-2eec376720cf
11d6fa60-bb9b-4eed-a921-2d524d2a7ae2,NULL,2023-06-12 12:19:13,NULL,2023-06-12 12:19:13,_binary '0',_binary '0',Projects,3dd11f69-9760-485f-aff4-229ed77fd814
11d88835-caa3-4bd9-8d50-74b0d5e6026f,NULL,2023-09-13 07:38:21,NULL,2023-09-13 07:38:21,_binary '0',_binary '0',Masters,da26e2f2-65bf-4e5a-8f2f-66911eae495b
13ae26b6-4e4d-446b-83ee-58ee568e996d,NULL,NULL,NULL,2023-07-12 05:20:57,_binary '',_binary '',Jobs,2b161eb7-3fe1-456f-91e8-71ffd457f117
155f3104-48d6-4774-b059-279f1f54d63b,NULL,NULL,NULL,2024-07-08 06:40:33,_binary '0',_binary '0',Reports,c12ae087-09e6-4f55-b003-36936118dc09
16c3cbd3-4728-43ac-a95f-115748cc9214,NULL,NULL,NULL,2023-07-12 05:21:02,_binary '',_binary '',Jobs,271ea8c5-b2c1-4f68-9ba6-fa1859a37070
